onion_id	id	intent_id	track_id	artist_name	track_uri	artist_uri	track_name	album_uri	duration_ms	album_name	intent_name	intent_group_name	intent_user_id	intent_how_often	intent_how_imp	music4all_id
onion::314::3781676f-50cb-4301-89e0-6eaddbea9f2c	1793	314	3781676f-50cb-4301-89e0-6eaddbea9f2c	Adele	https://www.last.fm/music/Adele/_/Skyfall	https://www.last.fm/music/Adele	Skyfall	https://www.last.fm/music/Adele/Skyfall	0.0	Skyfall	Exploration	Exploration	a5b9f7a7-1222-42fd-9687-259bee291e30	4	5	fyTPYIaKV4tfEYvk
onion::314::89568694-dfe1-4d08-9ee2-3fadaedf7553	1799	314	89568694-dfe1-4d08-9ee2-3fadaedf7553	League of Legends	https://www.last.fm/music/League+of+Legends/_/Braum	https://www.last.fm/music/League%20of%20Legends	Braum	https://www.last.fm/music/League%20of%20Legends/The%20Music%20Of%20League%20Of%20Legends%20Vol.%201	0.0	The Music Of League Of Legends Vol. 1	Exploration	Exploration	a5b9f7a7-1222-42fd-9687-259bee291e30	4	5	mjnSvdh8qdPuLh4p
onion::219::5yxghrFKJbU7pcaUFEv1Sg	1209	219	5yxghrFKJbU7pcaUFEv1Sg	Ariana Grande			Tattooed Heart			Yours Truly	Entertainment	Singing Along	ea63fae3-d42a-4e13-907f-261c8aaf1a96	2	5	PmhzZvQYdf01MuVa
onion::1213::custom-1772129118953	10964	1213	custom-1772129118953	Prettymuch			Blind		0.0		Escape	Letting Go	eb0de0a6-04fe-443d-8cb7-d53e86e6a2ac	5	5	hkMBgqiZHMCGPkJG
onion::155::0e0df2a9-78ff-43ba-a13f-b61dd8d3d5b0	770	155	0e0df2a9-78ff-43ba-a13f-b61dd8d3d5b0	Tom Tom Club	https://www.last.fm/music/Tom+Tom+Club/_/Genius+of+Love	https://www.last.fm/music/Tom%20Tom%20Club	Genius of Love		0.0		Relaxing	Comfort and Security	906ed429-6e6a-43ae-a82b-2abcee327de3	3	4	Z1NtUgfD1t8GpUeb
onion::155::08105659-ac51-49ef-9e19-fb2cb38c73e8	772	155	08105659-ac51-49ef-9e19-fb2cb38c73e8	LCD Soundsystem	https://www.last.fm/music/LCD+Soundsystem/_/Someone+Great	https://www.last.fm/music/LCD%20Soundsystem	Someone Great		0.0		Relaxing	Comfort and Security	906ed429-6e6a-43ae-a82b-2abcee327de3	3	4	T25sOQFGjGgy1DCm
onion::155::7a97341f-ebfb-4945-8924-d98571353b5c	774	155	7a97341f-ebfb-4945-8924-d98571353b5c	Zero 7	https://www.last.fm/music/Zero+7/_/Destiny	https://www.last.fm/music/Zero%207	Destiny	https://www.last.fm/music/Zero%207/Simple%20Things%20Special%20Edition	0.0	Simple Things Special Edition	Relaxing	Comfort and Security	906ed429-6e6a-43ae-a82b-2abcee327de3	3	4	ac6wmKasI8UeC1R9
onion::156::39bf253c-d9dc-4e59-a4ee-9b4df1caadd1	775	156	39bf253c-d9dc-4e59-a4ee-9b4df1caadd1	Goldfrapp	https://www.last.fm/music/Goldfrapp/_/Alive	https://www.last.fm/music/Goldfrapp	Alive		0.0		Well-Being	Pleasure & Enjoyment	906ed429-6e6a-43ae-a82b-2abcee327de3	1	3	u7UP2Kg2Mp9QCGT1
onion::156::0e0df2a9-78ff-43ba-a13f-b61dd8d3d5b0	776	156	0e0df2a9-78ff-43ba-a13f-b61dd8d3d5b0	Tom Tom Club	https://www.last.fm/music/Tom+Tom+Club/_/Genius+of+Love	https://www.last.fm/music/Tom%20Tom%20Club	Genius of Love		0.0		Well-Being	Pleasure & Enjoyment	906ed429-6e6a-43ae-a82b-2abcee327de3	1	3	Z1NtUgfD1t8GpUeb
onion::156::162e15fb-af1b-4e7b-a12e-de89547c90df	779	156	162e15fb-af1b-4e7b-a12e-de89547c90df	Goldfrapp	https://www.last.fm/music/Goldfrapp/_/Anymore	https://www.last.fm/music/Goldfrapp	Anymore		0.0		Well-Being	Pleasure & Enjoyment	906ed429-6e6a-43ae-a82b-2abcee327de3	1	3	5puEuHuDvFBi7Qj2
onion::157::39bf253c-d9dc-4e59-a4ee-9b4df1caadd1	780	157	39bf253c-d9dc-4e59-a4ee-9b4df1caadd1	Goldfrapp	https://www.last.fm/music/Goldfrapp/_/Alive	https://www.last.fm/music/Goldfrapp	Alive		0.0		Awareness	Bodily Sensation	906ed429-6e6a-43ae-a82b-2abcee327de3	2	4	u7UP2Kg2Mp9QCGT1
onion::157::f119c1db-fc63-4499-a51d-53b39764ffc4	782	157	f119c1db-fc63-4499-a51d-53b39764ffc4	Dru Hill	https://www.last.fm/music/Dru+Hill/_/Beauty	https://www.last.fm/music/Dru%20Hill	Beauty		0.0		Awareness	Bodily Sensation	906ed429-6e6a-43ae-a82b-2abcee327de3	2	4	6RHLOKbCV6BT3s1o
onion::157::431c22b0-6795-488f-bc0d-e7e95e0749dd	785	157	431c22b0-6795-488f-bc0d-e7e95e0749dd	Lemon Demon	https://www.last.fm/music/Lemon+Demon/_/Cabinet+Man	https://www.last.fm/music/Lemon%20Demon	Cabinet Man	https://www.last.fm/music/Lemon%20Demon/Spirit%20Phone	0.0	Spirit Phone	Awareness	Bodily Sensation	906ed429-6e6a-43ae-a82b-2abcee327de3	2	4	HXR67d9mHNTVWMUq
onion::158::860ad0f0-d269-4c60-8143-f9c6792aed0c	787	158	860ad0f0-d269-4c60-8143-f9c6792aed0c	Lana Del Rey	https://www.last.fm/music/Lana+Del+Rey/_/White+Mustang	https://www.last.fm/music/Lana%20Del%20Rey	White Mustang		0.0		Creativity	Creative Visualization	906ed429-6e6a-43ae-a82b-2abcee327de3	2	4	4R1LOOq2sAnvmUhS
onion::158::79567c8e-db1e-4b16-ab40-8f2686008d31	788	158	79567c8e-db1e-4b16-ab40-8f2686008d31	Lana Del Rey	https://www.last.fm/music/Lana+Del+Rey/_/Heroin	https://www.last.fm/music/Lana%20Del%20Rey	Heroin		0.0		Creativity	Creative Visualization	906ed429-6e6a-43ae-a82b-2abcee327de3	2	4	pXf2yi6HYFCTfg8g
onion::158::7AkQVlVzkZMCCHLtIzUT9d	789	158	7AkQVlVzkZMCCHLtIzUT9d	Lazerhawk			Shoulder of Orion			Visitors	Creativity	Creative Visualization	906ed429-6e6a-43ae-a82b-2abcee327de3	2	4	eQl6A8Bzl1WHyFR0
onion::158::3e08c36a-7279-3c1e-bd63-a7ec1290067d	790	158	3e08c36a-7279-3c1e-bd63-a7ec1290067d	Crystal Castles	https://www.last.fm/music/Crystal+Castles/_/Affection	https://www.last.fm/music/Crystal%20Castles	Affection		0.0		Creativity	Creative Visualization	906ed429-6e6a-43ae-a82b-2abcee327de3	2	4	TmhEi0Z91beKiZgT
onion::159::43f4419c-2c8c-485b-8c7a-42246c5edf5f	791	159	43f4419c-2c8c-485b-8c7a-42246c5edf5f	Lana Del Rey	https://www.last.fm/music/Lana+Del+Rey/_/In+My+Feelings	https://www.last.fm/music/Lana%20Del%20Rey	In My Feelings		0.0		Relief	Relief	906ed429-6e6a-43ae-a82b-2abcee327de3	1	5	N66qXFCABaCiso3R
onion::159::bbbcc53f-388e-4984-b266-390faea0fe48	794	159	bbbcc53f-388e-4984-b266-390faea0fe48	Milky Chance	https://www.last.fm/music/Milky+Chance/_/Stolen+Dance	https://www.last.fm/music/Milky%20Chance	Stolen Dance		0.0		Relief	Relief	906ed429-6e6a-43ae-a82b-2abcee327de3	1	5	nL5OISo1ClBQrJ2y
onion::162::4fo7zZTzAJd66iUxDQ5xUD	809	162	4fo7zZTzAJd66iUxDQ5xUD	Lazerhawk			Overdrive			Redline	Escape	Letting Go	906ed429-6e6a-43ae-a82b-2abcee327de3	1	3	aR0wo7I5yDjrpid9
onion::163::39bf253c-d9dc-4e59-a4ee-9b4df1caadd1	811	163	39bf253c-d9dc-4e59-a4ee-9b4df1caadd1	Goldfrapp	https://www.last.fm/music/Goldfrapp/_/Alive	https://www.last.fm/music/Goldfrapp	Alive		0.0		Motivation	Background Utility	906ed429-6e6a-43ae-a82b-2abcee327de3	2	2	u7UP2Kg2Mp9QCGT1
onion::163::3qSlbAE7VfK1AVyxfoHNJZ	813	163	3qSlbAE7VfK1AVyxfoHNJZ	Yes	spotify:track:3qSlbAE7VfK1AVyxfoHNJZ	spotify:artist:7AC976RDJzL2asmZuz7qil	Leave It	spotify:album:6nNlTIiFd3J06W0rJiiwlz	253800.0	90125	Motivation	Background Utility	906ed429-6e6a-43ae-a82b-2abcee327de3	2	2	G7eWAmS16ClFyMJW
onion::164::0e0df2a9-78ff-43ba-a13f-b61dd8d3d5b0	816	164	0e0df2a9-78ff-43ba-a13f-b61dd8d3d5b0	Tom Tom Club	https://www.last.fm/music/Tom+Tom+Club/_/Genius+of+Love	https://www.last.fm/music/Tom%20Tom%20Club	Genius of Love		0.0		Passion / Pleasure	Habitual Listening	906ed429-6e6a-43ae-a82b-2abcee327de3	3	5	Z1NtUgfD1t8GpUeb
onion::164::6ZrmCwf4QA180ygKzSVcrj	818	164	6ZrmCwf4QA180ygKzSVcrj	Yelle			Chimie Physique			Safari Disco Club	Passion / Pleasure	Habitual Listening	906ed429-6e6a-43ae-a82b-2abcee327de3	3	5	H9b9aNxTRQr9evet
onion::164::5B9XiJvYFOk3lRoMFsgkfA	819	164	5B9XiJvYFOk3lRoMFsgkfA	Peaches			Pickles			Rub	Passion / Pleasure	Habitual Listening	906ed429-6e6a-43ae-a82b-2abcee327de3	3	5	pA4GYy7eeRo60I7s
